No.	Strike	Dip	Dip Quad	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes
1	69	71	N	0	0	0		0	0	0	
2	75	72	N	0	0	0		0	0	0	
3	80	78	N	0	0	0		0	0	0	
4	77	69	N	0	0	0		0	0	0	
5	52	66	N	0	0	0		0	0	0	
6	52	66	N	0	0	0		0	0	0	
7	84	73	N	0	0	0		0	0	0	
8	73	65	N	0	0	0		0	0	0	
9	73	65	N	0	0	0		0	0	0	
10	82	76	N	0	0	0		0	0	0	
11	82	76	N	0	0	0		0	0	0	
12	124	71	N	0	0	0		0	0	0	
13	124	71	N	0	0	0		0	0	0	
14	124	71	N	0	0	0		0	0	0	
15	102	74	N	0	0	0		0	0	0	
16	102	74	N	0	0	0		0	0	0	
17	102	74	N	0	0	0		0	0	0	
18	102	74	N	0	0	0		0	0	0	
19	93	74	N	0	0	0		0	0	0	
20	127	74	N	0	0	0		0	0	0	
21	127	74	N	0	0	0		0	0	0	
22	127	74	N	0	0	0		0	0	0	
