No.	Strike	Dip	Dip Quad	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes
1	306	45	N	0	0	0	0				
2	306	45	N	0	0	0	0				
3	306	45	N	0	0	0	0				
4	306	45	N	0	0	0	0				
5	306	45	N	0	0	0	0				
6	306	45	N	0	0	0	0				
7	306	45	N	0	0	0	0				
8	306	45	N	0	0	0	0				
9	306	45	N	0	0	0	0				
10	306	45	N	0	0	0	0				
11	306	45	N	0	0	0	0				
12	306	45	N	0	0	0	0				
13	306	45	N	0	0	0	0				
14	306	45	N	0	0	0	0				
15	306	45	N	0	0	0	0				
16	306	45	N	0	0	0	0				
17	306	45	N	0	0	0	0				
18	306	45	N	0	0	0	0				
19	306	45	N	0	0	0	0				
20	306	45	N	0	0	0	0				
