No.	Strike	Dip	Dip Quad	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes
1	270	69	N	0	0	0		0	0	0	
2	288	74	N	0	0	0		0	0	0	
3	288	74	N	0	0	0		0	0	0	
4	263	77	N	0	0	0		0	0	0	
5	263	77	N	0	0	0		0	0	0	
6	306	45	N	0	0	0		0	0	0	
7	306	45	N	0	0	0		0	0	0	
8	298	72	N	0	0	0		0	0	0	
9	298	72	N	0	0	0		0	0	0	
10	298	72	N	0	0	0		0	0	0	
11	298	72	N	0	0	0		0	0	0	
12	298	72	N	0	0	0		0	0	0	
13	298	72	N	0	0	0		0	0	0	
14	298	72	N	0	0	0		0	0	0	
15	298	72	N	0	0	0		0	0	0	
16	298	72	N	0	0	0		0	0	0	
17	298	72	N	0	0	0		0	0	0	
18	298	72	N	0	0	0		0	0	0	
19	298	72	N	0	0	0		0	0	0	
20	298	72	N	0	0	0		0	0	0	
21	298	72	N	0	0	0		0	0	0	
22	298	72	N	0	0	0		0	0	0	
