No.	Strike	Dip	Dip Quad	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes
1	335	63	N	0	0	0		0	0	0	
2	336	57	N	0	0	0		0	0	0	
3	336	57	N	0	0	0		0	0	0	
4	334	55	N	0	0	0		0	0	0	
5	334	55	N	0	0	0		0	0	0	
6	345	73	N	0	0	0		0	0	0	
7	342	70	N	0	0	0		0	0	0	
8	342	70	N	0	0	0		0	0	0	
9	342	70	N	0	0	0		0	0	0	
10	347	66	N	0	0	0		0	0	0	
11	347	66	N	0	0	0		0	0	0	
12	347	66	N	0	0	0		0	0	0	
13	347	66	N	0	0	0		0	0	0	
14	347	66	N	0	0	0		0	0	0	
15	347	66	N	0	0	0		0	0	0	
16	347	66	N	0	0	0		0	0	0	
17	339	70	N	0	0	0		0	0	0	
18	339	70	N	0	0	0		0	0	0	
19	339	70	N	0	0	0		0	0	0	
